LAST_UPLOAD_DATE,NEW_LICNO,REFERENCE_NUMBER,SERVICE,NEW_ACCOUNT,LICENSEE,LOCATION,STATION_TYPE,TECHNOLOGY,CELL_ID,PHYSICAL_ID,PROV,LATITUDE,LONGITUDE,SITE_TYPE,STUCT_HT,STRUCTURE_TYPE,LAST_MOD_DATE,RECORD_ID,TRANSMIT_FREQ,RECEIVE_FREQ,TX_MODEL,TX_MFR,TRANSMIT_BW,BW_EMISSION,TX_PWR,TX_ANT_MODEL,TX_ANT_MFR,TX_ANT_HT,TX_ANT_DIRECTIONAL,TX_ANT_AZIM,TX_ANT_ELEV_ANGLE,TX_ANT_GAIN,TX_LINE_LOSS,DEM_GROUND_ELEV_M,SITE_ELEV,ANTENNA_Z_M
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,3792 Novalea Drive,FX,5GNR,610-1080000-41819717635,65.0,NS,44.671225,-63.612567,O,1.0,R,2022-03-29,J0566,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,240.0,-4.0,11.0,0.0,56.03268814086914,56.03268814086914,57.03268814086914
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5261 Richmond Street,FX,5GNR,610-1080000-41811247105,35.0,NS,44.667303,-63.599572,O,1.0,R,2022-05-13,J1427,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,330.0,-2.0,11.0,0.0,32.138999938964844,32.138999938964844,33.138999938964844
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5261 Richmond Street,FX,5GNR,610-1080000-41811247106,33.0,NS,44.667303,-63.599572,O,1.0,R,2022-05-13,J1427,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,120.0,-2.0,11.0,0.0,32.138999938964844,32.138999938964844,33.138999938964844
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5261 Richmond Street,FX,5GNR,610-1080000-41811247107,34.0,NS,44.667303,-63.599572,O,1.0,R,2022-05-13,J1427,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,50.79,AIR6449 Antenna,Ericsson,1.0,D,240.0,-2.0,11.0,0.0,32.138999938964844,32.138999938964844,33.138999938964844
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5516 Spring Garden Road,FX,5GNR,610-1080000-41826631681,388.0,NS,44.642972,-63.577378,O,1.0,R,2022-05-13,J1468,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,47.78,AIR6449 Antenna,Ericsson,1.0,D,340.0,-2.0,11.0,0.0,34.886993408203125,34.886993408203125,35.886993408203125
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5516 Spring Garden Road,FX,5GNR,610-1080000-41826631682,293.0,NS,44.642972,-63.577378,O,1.0,R,2022-05-13,J1468,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,47.78,AIR6449 Antenna,Ericsson,1.0,D,240.0,-2.0,11.0,0.0,34.886993408203125,34.886993408203125,35.886993408203125
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5651 Ogilvie Street,FX,5GNR,610-1080000-41807708161,138.0,NS,44.6289,-63.5711,O,1.0,R,2022-03-29,J0428,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,340.0,0.0,11.0,0.0,16.54718589782715,16.54718589782715,17.54718589782715
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5651 Ogilvie Street,FX,5GNR,610-1080000-41807708162,19.0,NS,44.6289,-63.5711,O,1.0,R,2022-03-29,J0428,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,100.0,0.0,11.0,0.0,16.54718589782715,16.54718589782715,17.54718589782715
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5651 Ogilvie Street,FX,5GNR,610-1080000-41807708163,53.0,NS,44.6289,-63.5711,O,1.0,R,2022-03-29,J0428,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,220.0,0.0,11.0,0.0,16.54718589782715,16.54718589782715,17.54718589782715
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5741 Cogswell St,FX,5GNR,610-1080000-45421592586,481.0,NS,44.649352,-63.586176,O,5.0,P,2024-07-10,J9860,3535.0,3535.0,AS1617682,287AB,10.0,10M0W7W,43.01,GP1210-06830,Galtronics,5.0,D,350.0,0.0,10.0,0.0,47.209999084472656,47.209999084472656,52.209999084472656
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5775 Cogswell St,FX,5GNR,610-1080000-45421592580,463.0,NS,44.648703,-63.587797,O,5.0,P,2024-07-10,J9859,3535.0,3535.0,AS1617682,287AB,10.0,10M0W7W,43.01,GP1210-06830,Galtronics,5.0,D,340.0,0.0,10.0,0.0,44.869998931884766,44.869998931884766,49.869998931884766
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5788 North Street,FX,5GNR,610-1080000-41828679681,0.0,NS,44.654809,-63.593842,O,65.0,T,2022-05-13,J0400,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,54.3,D,5.0,-2.0,11.0,0.0,57.7599983215332,57.7599983215332,112.0599983215332
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5788 North Street,FX,5GNR,610-1080000-41828679682,379.0,NS,44.654809,-63.593842,O,65.0,T,2022-05-13,J0400,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,54.3,D,170.0,-2.0,11.0,0.0,57.7599983215332,57.7599983215332,112.0599983215332
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5788 North Street,FX,5GNR,610-1080000-41828679683,2.0,NS,44.654809,-63.593842,O,65.0,T,2022-05-13,J0400,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,54.3,D,250.0,-2.0,11.0,0.0,57.7599983215332,57.7599983215332,112.0599983215332
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5788 UNIVERSITY AV,FX,5GNR,610-1080000-45406306305,107.0,NS,44.638822,-63.581133,O,1.0,R,2022-05-13,J1432,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,50.79,AIR6449 Antenna,Ericsson,1.0,D,300.0,-4.0,11.0,0.0,34.40333557128906,34.40333557128906,35.40333557128906
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5788 UNIVERSITY AV,FX,5GNR,610-1080000-45406306306,712.0,NS,44.638822,-63.581133,O,1.0,R,2022-05-13,J1432,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,50.79,AIR6449 Antenna,Ericsson,1.0,D,200.0,-4.0,11.0,0.0,34.40333557128906,34.40333557128906,35.40333557128906
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,5850 University Avenue,FX,5GNR,610-58000-29329539073,460.0,NS,44.637279,-63.58419,O,1.0,O,2025-02-28,J0973,3535.0,3535.0,AWHHIQA,661AF,10.0,10M0W7W,43.8,SmartNode4G5G,Commscope,1.0,D,160.0,0.0,1.0,0.0,28.18534278869629,28.18534278869629,29.18534278869629
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,6080 Young Street,FX,5GNR,610-1080000-41818505217,870.0,NS,44.6583,-63.6031,O,1.0,R,2022-05-13,J0567,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,330.0,0.0,11.0,0.0,53.851463317871094,53.851463317871094,54.851463317871094
2026-05-22,010907034-001,Upload 26-MAY-22,3500B,100000090812,Bell Mobility Inc.,6080 Young Street,FX,5GNR,610-1080000-41818505218,331.0,NS,44.6583,-63.6031,O,1.0,R,2022-05-13,J0567,3535.0,3535.0,AS901204,287AB,10.0,10M0W7W,53.38,AIR6449 Antenna,Ericsson,1.0,D,90.0,0.0,11.0,0.0,53.851463317871094,53.851463317871094,54.851463317871094
